date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:13:53	0/0	---M--	302	error ('Found')	application/binary	date:Fri,%2023%20Oct%202020%2010:13:53%20GMT	https://sites.google.com/site/smolavipour	C:/My%20Web%20Sites/Sina/sites.google.com/site/smolavipour.0.delayed	(from )
12:13:54	104/104	---MCZ	200	added ('OK')	text/plain	date:Fri,%2023%20Oct%202020%2010:13:53%20GMT	https://accounts.google.com/robots.txt		(from )
12:13:54	77026/77026	---MCZ	200	added ('OK')	text/html	date:Fri,%2023%20Oct%202020%2010:13:53%20GMT	https://accounts.google.com/ServiceLogin?passive=1209600&continue=https://sites.google.com/site/smolavipour&followup=https://sites.google.com/site/smolavipour	C:/My%20Web%20Sites/Sina/accounts.google.com/ServiceLogin50ea.html	(from )
12:13:54	239/239	---M--	200	added ('OK')	image/png	date:Tue,%2003%20Mar%202020%2020:15:00%20GMT	https://ssl.gstatic.com/ui/v1/menu/checkmark.png	C:/My%20Web%20Sites/Sina/ssl.gstatic.com/ui/v1/menu/checkmark.png	(from https://accounts.google.com/ServiceLogin?passive=1209600&continue=https://sites.google.com/site/smolavipour&followup=https://sites.google.com/site/smolavipour)
12:13:54	2551/2551	---M--	200	added ('OK')	image/png	date:Thu,%2003%20Oct%202019%2010:15:00%20GMT	https://ssl.gstatic.com/accounts/ui/logo_1x.png	C:/My%20Web%20Sites/Sina/ssl.gstatic.com/accounts/ui/logo_1x.png	(from https://accounts.google.com/ServiceLogin?passive=1209600&continue=https://sites.google.com/site/smolavipour&followup=https://sites.google.com/site/smolavipour)
12:13:55	2449/2449	---M--	200	added ('OK')	image/png	date:Tue,%2022%20Oct%202019%2018:15:00%20GMT	https://ssl.gstatic.com/images/branding/googlelogo/1x/googlelogo_color_112x36dp.png	C:/My%20Web%20Sites/Sina/ssl.gstatic.com/images/branding/googlelogo/1x/googlelogo_color_112x36dp.png	(from https://accounts.google.com/ServiceLogin?passive=1209600&continue=https://sites.google.com/site/smolavipour&followup=https://sites.google.com/site/smolavipour)
12:13:55	5274/5274	---M--	200	added ('OK')	image/png	date:Thu,%2003%20Oct%202019%2010:15:00%20GMT	https://ssl.gstatic.com/accounts/ui/logo_2x.png	C:/My%20Web%20Sites/Sina/ssl.gstatic.com/accounts/ui/logo_2x.png	(from https://accounts.google.com/ServiceLogin?passive=1209600&continue=https://sites.google.com/site/smolavipour&followup=https://sites.google.com/site/smolavipour)
12:13:55	4603/4603	---M--	200	added ('OK')	image/png	date:Tue,%2022%20Oct%202019%2018:15:00%20GMT	https://ssl.gstatic.com/images/branding/googlelogo/2x/googlelogo_color_112x36dp.png	C:/My%20Web%20Sites/Sina/ssl.gstatic.com/images/branding/googlelogo/2x/googlelogo_color_112x36dp.png	(from https://accounts.google.com/ServiceLogin?passive=1209600&continue=https://sites.google.com/site/smolavipour&followup=https://sites.google.com/site/smolavipour)
12:13:55	4285/4285	---M--	200	added ('OK')	image/png	date:Thu,%2003%20Oct%202019%2010:15:00%20GMT	https://ssl.gstatic.com/accounts/ui/wlogostrip_230x17_1x.png	C:/My%20Web%20Sites/Sina/ssl.gstatic.com/accounts/ui/wlogostrip_230x17_1x.png	(from https://accounts.google.com/ServiceLogin?passive=1209600&continue=https://sites.google.com/site/smolavipour&followup=https://sites.google.com/site/smolavipour)
12:13:56	154/154	---M--	200	added ('OK')	image/png	date:Tue,%2003%20Mar%202020%2020:15:00%20GMT	http://ssl.gstatic.com/ui/v1/icons/common/x_8px.png	C:/My%20Web%20Sites/Sina/ssl.gstatic.com/ui/v1/icons/common/x_8px.png	(from https://accounts.google.com/ServiceLogin?passive=1209600&continue=https://sites.google.com/site/smolavipour&followup=https://sites.google.com/site/smolavipour)
